"Kernel","Metric Name","Metric Description","Min","Max","Avg"
"row_sums__one_block_per_chunked_rows__write_buffer","sm_efficiency","Multiprocessor Activity",99.265166%,99.529055%,99.357464%
"row_sums__one_block_per_chunked_rows__write_buffer","achieved_occupancy","Achieved Occupancy",0.997923,0.998304,0.998069
"row_sums__one_block_per_chunked_rows__write_buffer","ipc","Executed IPC",1.259415,1.261600,1.260334
"row_sums__one_block_per_chunked_rows__write_buffer","issued_ipc","Issued IPC",1.257785,1.265311,1.261674
"row_sums__one_block_per_chunked_rows__write_buffer","inst_per_warp","Instructions per warp",165746.000000,165746.000000,165746.000000
"row_sums__one_block_per_chunked_rows__write_buffer","branch_efficiency","Branch Efficiency",99.943733%,99.943733%,99.943733%
"row_sums__one_block_per_chunked_rows__write_buffer","warp_execution_efficiency","Warp Execution Efficiency",99.958370%,99.958370%,99.958370%
"row_sums__one_block_per_chunked_rows__write_buffer","warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",86.984339%,86.984341%,86.984341%
"row_sums__one_block_per_chunked_rows__write_buffer","inst_replay_overhead","Instruction Replay Overhead",0.000028,0.000030,0.000029
"row_sums__one_block_per_chunked_rows__write_buffer","issue_slot_utilization","Issue Slot Utilization",25.761622%,25.915772%,25.841270%
"row_sums__one_block_per_chunked_rows__write_buffer","shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.175227,0.175227,0.175227
"row_sums__one_block_per_chunked_rows__write_buffer","shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.198479,0.198479,0.198479
"row_sums__one_block_per_chunked_rows__write_buffer","local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_chunked_rows__write_buffer","local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"row_sums__one_block_per_chunked_rows__write_buffer","gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"row_sums__one_block_per_chunked_rows__write_buffer","shared_store_transactions","Shared Store Transactions",624768,624768,624768
"row_sums__one_block_per_chunked_rows__write_buffer","shared_load_transactions","Shared Load Transactions",967680,967680,967680
"row_sums__one_block_per_chunked_rows__write_buffer","local_load_transactions","Local Load Transactions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","local_store_transactions","Local Store Transactions",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","gst_transactions","Global Store Transactions",2048,2048,2048
"row_sums__one_block_per_chunked_rows__write_buffer","dram_read_transactions","Device Memory Read Transactions",33701430,33776988,33747491
"row_sums__one_block_per_chunked_rows__write_buffer","dram_write_transactions","Device Memory Write Transactions",4102,17396,8536
"row_sums__one_block_per_chunked_rows__write_buffer","global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","gld_requested_throughput","Requested Global Load Throughput",158.004217GB/s,158.176291GB/s,158.085130GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","gst_requested_throughput","Requested Global Store Throughput",9.875263MB/s,9.886018MB/s,9.880320MB/s
"row_sums__one_block_per_chunked_rows__write_buffer","gld_throughput","Global Load Throughput",158.004217GB/s,158.176291GB/s,158.085130GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","gst_throughput","Global Store Throughput",9.875263MB/s,9.886018MB/s,9.880320MB/s
"row_sums__one_block_per_chunked_rows__write_buffer","dram_read_throughput","Device Memory Read Throughput",158.803380GB/s,159.180002GB/s,158.994689GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","dram_write_throughput","Device Memory Write Throughput",19.795350MB/s,83.924956MB/s,41.182474MB/s
"row_sums__one_block_per_chunked_rows__write_buffer","tex_cache_throughput","Unified Cache Throughput",158.004217GB/s,158.176291GB/s,158.085130GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows__write_buffer","local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"row_sums__one_block_per_chunked_rows__write_buffer","shared_load_throughput","Shared Memory Load Throughput",18.226805GB/s,18.246655GB/s,18.236139GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","shared_store_throughput","Shared Memory Store Throughput",11.767862GB/s,11.780677GB/s,11.773888GB/s
"row_sums__one_block_per_chunked_rows__write_buffer","gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"row_sums__one_block_per_chunked_rows__write_buffer","tex_cache_transactions","Unified Cache Transactions",33554432,33554432,33554432
"row_sums__one_block_per_chunked_rows__write_buffer","cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows__write_buffer","tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_chunked_rows__write_buffer","ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows__write_buffer","double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"row_sums__one_block_per_chunked_rows__write_buffer","special_fu_utilization","Special Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"row_sums__one_block_per_chunked_rows__write_buffer","single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_sp","Floating Point Operations(Single Precision)",276807680,276807680,276807680
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_sp_add","Floating Point Operations(Single Precision Add)",276807680,276807680,276807680
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"row_sums__one_block_per_chunked_rows__write_buffer","flop_count_sp_special","Floating Point Operations(Single Precision Special)",32768,32768,32768
"row_sums__one_block_per_chunked_rows__write_buffer","inst_executed","Instructions Executed",169723904,169723904,169723904
"row_sums__one_block_per_chunked_rows__write_buffer","inst_issued","Instructions Issued",169728461,169728973,169728792
"row_sums__one_block_per_chunked_rows__write_buffer","dram_utilization","Device Memory Utilization","High (8)","High (8)","High (8)"
"row_sums__one_block_per_chunked_rows__write_buffer","tex_utilization","Unified Cache Utilization","Low (2)","Low (2)","Low (2)"
"row_sums__one_block_per_chunked_rows__write_buffer","shared_efficiency","Shared Memory Efficiency",67.008530%,67.008530%,67.008530%
